,followers_count,following_count,name,tweet_count,listed_count
62,9017,5546,nan,76125,358
63,9017,5546,nan,76125,358
64,620,766,noboku,7947,57
65,9017,5546,nan,76125,358
66,18465,6493,nyattx,10970,644
67,15139,132,yokokawakaede,1210,70
68,212,171,baseball450,2022,12
69,977,640,digiyas,10146,17
70,9017,5546,nan,76125,358
71,13255,2834,shino_okamura,35986,618
72,37724,262,Deltagraphs,8985,547
73,25658,1178,yukatan,27313,2157
74,2410,202,okada_yoshiaki,4187,47
75,9017,5546,nan,76125,358
76,1217,3561,okamotolaw,18370,39
77,9017,5546,nan,76125,358
78,6662,951,amrtamanthana,16619,117
79,617,92,y_shimomura,924,19
80,539,705,1976Kayama,9320,19
81,2344,255,kataribe_jiro,3252,52
82,705,321,kosonippon,3005,14
83,2640,1502,katoyori,17175,212
84,10095,3216,tomoichi,5173,278
85,22,33,TKatomoji,199,1
86,1254,597,pooprince,5239,45
87,9017,5546,nan,76125,358
88,18738,4097,manablog,28119,588
89,39162,4501,y_kawaji,105350,1056
90,477,220,kawamurameikou,2658,11
91,688,982,ruei_kannagi,1951,28
92,12717,13604,hanaco1231,18679,716
93,6414,5545,yokohanawa,5725,259
94,9017,5546,nan,76125,358
95,4080,304,kakumaro,34208,199
96,24,14,newzdrive,69,4
97,9017,5546,nan,76125,358
98,6631,448,h_hyonee,92860,310
99,72,208,lightroom0430,118,5
100,9017,5546,nan,76125,358
101,16938,621,kamematsu,18734,1836
102,2308,197,joshkikuchi,22394,99
103,9017,5546,nan,76125,358
104,5485,273,eijinho,1533,587
105,NaN,NaN,syokora1026,NaN,NaN
106,656,424,mk7jp,608,6
107,2268,663,yossyhighrock,10839,48
108,91193,35,ak_tch,16897,1501
109,14584,379,ushikuma,66097,743
110,9017,5546,nan,76125,358
111,1031,218,m_sachi,2245,85
112,89,35,miyazakinorihid,33,3
113,9017,5546,nan,76125,358
114,9017,5546,nan,76125,358
115,9017,5546,nan,76125,358
116,9017,5546,nan,76125,358
117,4123,236,miyajiman0621,19313,81
118,6383,42,disaster_i,15783,510
119,7143,2779,sakaiosamu,32186,291
120,3367,300,AikiHashimoto,8561,25
121,3838,681,HashimotoJunji,5876,129
122,108396,153,nobuogohara,8344,5136
123,9017,5546,nan,76125,358
124,9017,5546,nan,76125,358
125,9017,5546,nan,76125,358
126,909,290,mwkim0727,1488,45
127,4419,3093,Kutupon,42599,96
128,9017,5546,nan,76125,358
129,8133,1916,hitomikumasaka,7109,744
130,4392,475,kurikiyo,36723,292
131,9017,5546,nan,76125,358
132,9017,5546,nan,76125,358
133,8292,865,haraken0814,40292,351
134,9017,5546,nan,76125,358
135,9017,5546,nan,76125,358
136,52996,26642,aniotahosyu,40076,1284
137,186,254,okikuyayuruf,688,10
138,41088,2624,masurakusuo,29684,881
139,9017,5546,nan,76125,358
140,1327,111,yuki_igrs,1092,37
141,3365,164,ebisucareer,13495,117
142,1270,1216,chienowa38,103,1
